"id_aforo","fecha_ingreso","fecha_salida"
89921,2020-09-12 11:50:31,
89927,,2020-09-12 11:50:32
89931,,2020-09-12 11:51:02
89936,2020-09-12 11:51:17,
89940,,2020-09-12 11:51:24
89946,2020-09-12 11:52:00,
89950,,2020-09-12 11:52:02
89956,2020-09-12 11:52:25,
89960,2020-09-12 11:52:25,
89966,2020-09-12 11:52:36,
89970,,2020-09-12 11:52:59
89979,2020-09-12 11:53:17,
89985,,2020-09-12 11:53:46
89989,2020-09-12 11:54:18,
89995,,2020-09-12 11:54:26
89999,,2020-09-12 11:54:30
90005,,2020-09-12 11:54:34
90008,,2020-09-12 11:55:18
90014,2020-09-12 11:55:34,
90018,2020-09-12 11:56:01,
90024,,2020-09-12 11:56:19
90028,2020-09-12 11:56:52,
90033,,2020-09-12 11:57:17
90037,2020-09-12 11:57:23,
90043,2020-09-12 11:57:35,
90047,2020-09-12 11:57:36,
90053,2020-09-12 11:57:37,
90057,2020-09-12 11:57:38,
90063,2020-09-12 11:57:41,
90067,,2020-09-12 11:58:26
90073,2020-09-12 11:59:10,
90076,2020-09-12 11:59:34,
90082,,2020-09-12 11:59:53
90086,,2020-09-12 12:00:02
90092,,2020-09-12 12:00:50
90096,2020-09-12 12:00:56,
90102,,2020-09-12 12:00:58
90106,2020-09-12 12:01:03,
90109,,2020-09-12 12:01:21
90110,,2020-09-12 12:01:25
90111,,2020-09-12 12:01:26
90112,,2020-09-12 12:01:30
90113,,2020-09-12 12:01:37
90114,,2020-09-12 12:01:37
87507,2020-09-12 09:04:09,
87515,2020-09-12 09:04:50,
88160,2020-09-12 10:03:54,
88161,2020-09-12 10:03:55,
88945,,2020-09-12 10:58:51
88947,2020-09-12 10:59:15,
88949,2020-09-12 10:59:16,
89563,2020-09-12 11:32:34,
89566,2020-09-12 11:32:34,
89567,2020-09-12 11:32:36,
89568,2020-09-12 11:32:37,
89569,2020-09-12 11:32:37,
89570,2020-09-12 11:32:38,
89571,2020-09-12 11:32:38,
89572,2020-09-12 11:32:39,
89573,2020-09-12 11:32:40,
89575,2020-09-12 11:32:46,
89576,,2020-09-12 11:32:53
89577,2020-09-12 11:32:56,
89578,2020-09-12 11:32:56,
89579,2020-09-12 11:32:57,
89580,2020-09-12 11:32:57,
89581,,2020-09-12 11:32:58
89582,2020-09-12 11:32:58,
89902,2020-09-12 11:49:45,
89903,2020-09-12 11:49:45,
89904,2020-09-12 11:49:48,
89905,2020-09-12 11:50:05,
89906,2020-09-12 11:50:17,
89907,2020-09-12 11:50:17,
89908,2020-09-12 11:50:18,
89909,2020-09-12 11:50:27,
89910,,2020-09-12 11:50:28
89912,2020-09-12 11:50:30,
89913,2020-09-12 11:50:30,
89914,2020-09-12 11:50:30,
89915,2020-09-12 11:50:30,
89916,2020-09-12 11:50:31,
89918,2020-09-12 11:50:31,
89919,2020-09-12 11:50:31,
89920,2020-09-12 11:50:31,
89922,2020-09-12 11:50:32,
89923,,2020-09-12 11:50:32
89924,2020-09-12 11:50:32,
89925,,2020-09-12 11:50:32
89926,,2020-09-12 11:50:32
89928,2020-09-12 11:50:41,
89929,2020-09-12 11:50:41,
89930,2020-09-12 11:50:58,
89932,,2020-09-12 11:51:02
89933,,2020-09-12 11:51:06
89934,2020-09-12 11:51:16,
89935,2020-09-12 11:51:17,
89937,,2020-09-12 11:51:18
89938,,2020-09-12 11:51:18
89939,,2020-09-12 11:51:21
89941,2020-09-12 11:51:44,
89942,2020-09-12 11:51:44,
89943,,2020-09-12 11:51:52
89944,2020-09-12 11:51:58,
89945,2020-09-12 11:52:00,
89947,,2020-09-12 11:52:01
89948,,2020-09-12 11:52:01
89949,,2020-09-12 11:52:01
89951,,2020-09-12 11:52:09
89952,,2020-09-12 11:52:09
89953,,2020-09-12 11:52:09
89954,,2020-09-12 11:52:10
89955,,2020-09-12 11:52:13
89957,2020-09-12 11:52:25,
89958,2020-09-12 11:52:25,
89959,2020-09-12 11:52:25,
89961,2020-09-12 11:52:25,
89962,2020-09-12 11:52:26,
89963,2020-09-12 11:52:26,
89964,2020-09-12 11:52:26,
89965,2020-09-12 11:52:26,
89967,2020-09-12 11:52:36,
89968,,2020-09-12 11:52:44
89969,,2020-09-12 11:52:58
89971,2020-09-12 11:52:59,
89972,,2020-09-12 11:52:59
89973,2020-09-12 11:52:59,
89974,2020-09-12 11:53:00,
89975,2020-09-12 11:53:00,
89976,2020-09-12 11:53:16,
89977,2020-09-12 11:53:17,
89978,2020-09-12 11:53:17,
89980,2020-09-12 11:53:20,
89981,2020-09-12 11:53:40,
89982,2020-09-12 11:53:40,
89983,2020-09-12 11:53:41,
89984,,2020-09-12 11:53:46
89986,2020-09-12 11:54:13,
89987,,2020-09-12 11:54:13
89988,,2020-09-12 11:54:13
89990,,2020-09-12 11:54:21
89991,,2020-09-12 11:54:25
