"id_tiempo","fecha","año","semestre","trimestre","mes","mes_nombre","semana","dia_semana","fecha_inicio_año","fecha_fin_año","fecha_inicio_semestre","fecha_fin_semestre","fecha_inicio_trimestre","fecha_fin_trimestre","fecha_inicio_mes","fecha_fin_mes","fecha_inicio_semana","fecha_fin_semana"
20200615,2020-06-15,2020,1,2,6,Junio,25,Lunes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-06-01,2020-06-30,2020-06-15,2020-06-21
20200616,2020-06-16,2020,1,2,6,Junio,25,Martes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-06-01,2020-06-30,2020-06-15,2020-06-21
20200617,2020-06-17,2020,1,2,6,Junio,25,Miércoles,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-06-01,2020-06-30,2020-06-15,2020-06-21
20200618,2020-06-18,2020,1,2,6,Junio,25,Jueves,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-06-01,2020-06-30,2020-06-15,2020-06-21
20200101,2020-01-01,2020,1,1,1,Enero,1,Miércoles,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2019-12-30,2020-01-05
20200102,2020-01-02,2020,1,1,1,Enero,1,Jueves,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2019-12-30,2020-01-05
20200103,2020-01-03,2020,1,1,1,Enero,1,Viernes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2019-12-30,2020-01-05
20200104,2020-01-04,2020,1,1,1,Enero,1,Sábado,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2019-12-30,2020-01-05
20200105,2020-01-05,2020,1,1,1,Enero,1,Domingo,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2019-12-30,2020-01-05
20200106,2020-01-06,2020,1,1,1,Enero,2,Lunes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-06,2020-01-12
20200107,2020-01-07,2020,1,1,1,Enero,2,Martes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-06,2020-01-12
20200108,2020-01-08,2020,1,1,1,Enero,2,Miércoles,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-06,2020-01-12
20200109,2020-01-09,2020,1,1,1,Enero,2,Jueves,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-06,2020-01-12
20200110,2020-01-10,2020,1,1,1,Enero,2,Viernes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-06,2020-01-12
20200111,2020-01-11,2020,1,1,1,Enero,2,Sábado,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-06,2020-01-12
20200112,2020-01-12,2020,1,1,1,Enero,2,Domingo,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-06,2020-01-12
20200113,2020-01-13,2020,1,1,1,Enero,3,Lunes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-13,2020-01-19
20200114,2020-01-14,2020,1,1,1,Enero,3,Martes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-13,2020-01-19
20200115,2020-01-15,2020,1,1,1,Enero,3,Miércoles,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-13,2020-01-19
20200116,2020-01-16,2020,1,1,1,Enero,3,Jueves,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-13,2020-01-19
20200117,2020-01-17,2020,1,1,1,Enero,3,Viernes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-13,2020-01-19
20200118,2020-01-18,2020,1,1,1,Enero,3,Sábado,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-13,2020-01-19
20200119,2020-01-19,2020,1,1,1,Enero,3,Domingo,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-13,2020-01-19
20200120,2020-01-20,2020,1,1,1,Enero,4,Lunes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-20,2020-01-26
20200121,2020-01-21,2020,1,1,1,Enero,4,Martes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-20,2020-01-26
20200122,2020-01-22,2020,1,1,1,Enero,4,Miércoles,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-20,2020-01-26
20200123,2020-01-23,2020,1,1,1,Enero,4,Jueves,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-20,2020-01-26
20200124,2020-01-24,2020,1,1,1,Enero,4,Viernes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-20,2020-01-26
20200125,2020-01-25,2020,1,1,1,Enero,4,Sábado,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-20,2020-01-26
20200126,2020-01-26,2020,1,1,1,Enero,4,Domingo,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-20,2020-01-26
20200127,2020-01-27,2020,1,1,1,Enero,5,Lunes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-27,2020-02-02
20200128,2020-01-28,2020,1,1,1,Enero,5,Martes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-27,2020-02-02
20200129,2020-01-29,2020,1,1,1,Enero,5,Miércoles,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-27,2020-02-02
20200130,2020-01-30,2020,1,1,1,Enero,5,Jueves,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-27,2020-02-02
20200131,2020-01-31,2020,1,1,1,Enero,5,Viernes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-01-01,2020-03-31,2020-01-01,2020-01-31,2020-01-27,2020-02-02
